pairing_type,seed,experiment,metric,value
same_label,11,tabular_only,accuracy,0.9912280701754386
same_label,11,tabular_only,precision,1.0
same_label,11,tabular_only,recall,0.9761904761904762
same_label,11,tabular_only,f1_score,0.9879518072289156
same_label,11,tabular_only,roc_auc,1.0
same_label,11,tabular_only,brier_score,0.012077400692972065
same_label,11,image_only,accuracy,1.0
same_label,11,image_only,precision,1.0
same_label,11,image_only,recall,1.0
same_label,11,image_only,f1_score,1.0
same_label,11,image_only,roc_auc,1.0
same_label,11,image_only,brier_score,0.0009277549789503705
same_label,11,early_fusion,accuracy,1.0
same_label,11,early_fusion,precision,1.0
same_label,11,early_fusion,recall,1.0
same_label,11,early_fusion,f1_score,1.0
same_label,11,early_fusion,roc_auc,1.0
same_label,11,early_fusion,brier_score,0.00013129738263097332
same_label,11,late_fusion,accuracy,1.0
same_label,11,late_fusion,precision,1.0
same_label,11,late_fusion,recall,1.0
same_label,11,late_fusion,f1_score,1.0
same_label,11,late_fusion,roc_auc,1.0
same_label,11,late_fusion,brier_score,0.0033669369225649503
same_label,21,tabular_only,accuracy,0.9736842105263158
same_label,21,tabular_only,precision,0.975609756097561
same_label,21,tabular_only,recall,0.9523809523809523
same_label,21,tabular_only,f1_score,0.963855421686747
same_label,21,tabular_only,roc_auc,0.996362433862434
same_label,21,tabular_only,brier_score,0.023760560146158485
same_label,21,image_only,accuracy,1.0
same_label,21,image_only,precision,1.0
same_label,21,image_only,recall,1.0
same_label,21,image_only,f1_score,1.0
same_label,21,image_only,roc_auc,1.0
same_label,21,image_only,brier_score,0.0014938551727308054
same_label,21,early_fusion,accuracy,1.0
same_label,21,early_fusion,precision,1.0
same_label,21,early_fusion,recall,1.0
same_label,21,early_fusion,f1_score,1.0
same_label,21,early_fusion,roc_auc,1.0
same_label,21,early_fusion,brier_score,0.001311810230852808
same_label,21,late_fusion,accuracy,1.0
same_label,21,late_fusion,precision,1.0
same_label,21,late_fusion,recall,1.0
same_label,21,late_fusion,f1_score,1.0
same_label,21,late_fusion,roc_auc,1.0
same_label,21,late_fusion,brier_score,0.006980224498617692
same_label,31,tabular_only,accuracy,0.9824561403508771
same_label,31,tabular_only,precision,1.0
same_label,31,tabular_only,recall,0.9523809523809523
same_label,31,tabular_only,f1_score,0.975609756097561
same_label,31,tabular_only,roc_auc,0.9890873015873016
same_label,31,tabular_only,brier_score,0.021834815442344356
same_label,31,image_only,accuracy,1.0
same_label,31,image_only,precision,1.0
same_label,31,image_only,recall,1.0
same_label,31,image_only,f1_score,1.0
same_label,31,image_only,roc_auc,1.0
same_label,31,image_only,brier_score,0.0014975213498832855
same_label,31,early_fusion,accuracy,1.0
same_label,31,early_fusion,precision,1.0
same_label,31,early_fusion,recall,1.0
same_label,31,early_fusion,f1_score,1.0
same_label,31,early_fusion,roc_auc,1.0
same_label,31,early_fusion,brier_score,0.0021948306469711082
same_label,31,late_fusion,accuracy,1.0
same_label,31,late_fusion,precision,1.0
same_label,31,late_fusion,recall,1.0
same_label,31,late_fusion,f1_score,1.0
same_label,31,late_fusion,roc_auc,1.0
same_label,31,late_fusion,brier_score,0.006077927555606194
same_label,41,tabular_only,accuracy,0.9824561403508771
same_label,41,tabular_only,precision,1.0
same_label,41,tabular_only,recall,0.9523809523809523
same_label,41,tabular_only,f1_score,0.975609756097561
same_label,41,tabular_only,roc_auc,0.990079365079365
same_label,41,tabular_only,brier_score,0.01353960529243723
same_label,41,image_only,accuracy,1.0
same_label,41,image_only,precision,1.0
same_label,41,image_only,recall,1.0
same_label,41,image_only,f1_score,1.0
same_label,41,image_only,roc_auc,1.0
same_label,41,image_only,brier_score,0.004490582083288805
same_label,41,early_fusion,accuracy,1.0
same_label,41,early_fusion,precision,1.0
same_label,41,early_fusion,recall,1.0
same_label,41,early_fusion,f1_score,1.0
same_label,41,early_fusion,roc_auc,1.0
same_label,41,early_fusion,brier_score,0.002091364388878804
same_label,41,late_fusion,accuracy,0.9912280701754386
same_label,41,late_fusion,precision,1.0
same_label,41,late_fusion,recall,0.9761904761904762
same_label,41,late_fusion,f1_score,0.9879518072289156
same_label,41,late_fusion,roc_auc,1.0
same_label,41,late_fusion,brier_score,0.004711649298098506
same_label,51,tabular_only,accuracy,0.9824561403508771
same_label,51,tabular_only,precision,1.0
same_label,51,tabular_only,recall,0.9523809523809523
same_label,51,tabular_only,f1_score,0.975609756097561
same_label,51,tabular_only,roc_auc,0.9996693121693122
same_label,51,tabular_only,brier_score,0.011596671299502963
same_label,51,image_only,accuracy,1.0
same_label,51,image_only,precision,1.0
same_label,51,image_only,recall,1.0
same_label,51,image_only,f1_score,1.0
same_label,51,image_only,roc_auc,1.0
same_label,51,image_only,brier_score,0.0009805680206868908
same_label,51,early_fusion,accuracy,1.0
same_label,51,early_fusion,precision,1.0
same_label,51,early_fusion,recall,1.0
same_label,51,early_fusion,f1_score,1.0
same_label,51,early_fusion,roc_auc,1.0
same_label,51,early_fusion,brier_score,0.001328148027902024
same_label,51,late_fusion,accuracy,1.0
same_label,51,late_fusion,precision,1.0
same_label,51,late_fusion,recall,1.0
same_label,51,late_fusion,f1_score,1.0
same_label,51,late_fusion,roc_auc,1.0
same_label,51,late_fusion,brier_score,0.0035146034433254617
random,11,tabular_only,accuracy,0.9912280701754386
random,11,tabular_only,precision,1.0
random,11,tabular_only,recall,0.9761904761904762
random,11,tabular_only,f1_score,0.9879518072289156
random,11,tabular_only,roc_auc,1.0
random,11,tabular_only,brier_score,0.012077400692972065
random,11,image_only,accuracy,0.5263157894736842
random,11,image_only,precision,0.2857142857142857
random,11,image_only,recall,0.19047619047619047
random,11,image_only,f1_score,0.22857142857142856
