pairing_type,seed,experiment,metric,value
same_label,11,tabular_only,accuracy,0.9912280701754386
same_label,11,tabular_only,precision,1.0
same_label,11,tabular_only,recall,0.9761904761904762
same_label,11,tabular_only,f1_score,0.9879518072289156
same_label,11,tabular_only,roc_auc,1.0
same_label,11,tabular_only,brier_score,0.012077400692972065
same_label,11,image_only,accuracy,1.0
same_label,11,image_only,precision,1.0
same_label,11,image_only,recall,1.0
same_label,11,image_only,f1_score,1.0
same_label,11,image_only,roc_auc,0.9999999999999999
same_label,11,image_only,brier_score,0.0006860715083704128
same_label,11,early_fusion,accuracy,1.0
same_label,11,early_fusion,precision,1.0
same_label,11,early_fusion,recall,1.0
same_label,11,early_fusion,f1_score,1.0
same_label,11,early_fusion,roc_auc,1.0
same_label,11,early_fusion,brier_score,0.00013766046431848818
same_label,11,late_fusion,accuracy,1.0
same_label,11,late_fusion,precision,1.0
same_label,11,late_fusion,recall,1.0
same_label,11,late_fusion,f1_score,1.0
same_label,11,late_fusion,roc_auc,1.0
same_label,11,late_fusion,brier_score,0.003311508350655524
same_label,21,tabular_only,accuracy,0.9736842105263158
same_label,21,tabular_only,precision,0.975609756097561
same_label,21,tabular_only,recall,0.9523809523809523
same_label,21,tabular_only,f1_score,0.963855421686747
same_label,21,tabular_only,roc_auc,0.996362433862434
same_label,21,tabular_only,brier_score,0.023760560146158485
same_label,21,image_only,accuracy,1.0
same_label,21,image_only,precision,1.0
same_label,21,image_only,recall,1.0
same_label,21,image_only,f1_score,1.0
same_label,21,image_only,roc_auc,1.0
same_label,21,image_only,brier_score,0.0007221713898536866
same_label,21,early_fusion,accuracy,1.0
same_label,21,early_fusion,precision,1.0
same_label,21,early_fusion,recall,1.0
same_label,21,early_fusion,f1_score,1.0
same_label,21,early_fusion,roc_auc,1.0
same_label,21,early_fusion,brier_score,0.0011059791642044478
same_label,21,late_fusion,accuracy,1.0
same_label,21,late_fusion,precision,1.0
same_label,21,late_fusion,recall,1.0
same_label,21,late_fusion,f1_score,1.0
same_label,21,late_fusion,roc_auc,1.0
same_label,21,late_fusion,brier_score,0.006435221557127246
same_label,31,tabular_only,accuracy,0.9824561403508771
same_label,31,tabular_only,precision,1.0
same_label,31,tabular_only,recall,0.9523809523809523
same_label,31,tabular_only,f1_score,0.975609756097561
same_label,31,tabular_only,roc_auc,0.9890873015873016
same_label,31,tabular_only,brier_score,0.021834815442344356
same_label,31,image_only,accuracy,1.0
same_label,31,image_only,precision,1.0
same_label,31,image_only,recall,1.0
same_label,31,image_only,f1_score,1.0
same_label,31,image_only,roc_auc,1.0
same_label,31,image_only,brier_score,0.0006031666260721665
same_label,31,early_fusion,accuracy,1.0
same_label,31,early_fusion,precision,1.0
same_label,31,early_fusion,recall,1.0
same_label,31,early_fusion,f1_score,1.0
same_label,31,early_fusion,roc_auc,1.0
same_label,31,early_fusion,brier_score,0.0004450752571066973
same_label,31,late_fusion,accuracy,1.0
same_label,31,late_fusion,precision,1.0
same_label,31,late_fusion,recall,1.0
same_label,31,late_fusion,f1_score,1.0
same_label,31,late_fusion,roc_auc,1.0
same_label,31,late_fusion,brier_score,0.005742167117602584
same_label,41,tabular_only,accuracy,0.9824561403508771
same_label,41,tabular_only,precision,1.0
same_label,41,tabular_only,recall,0.9523809523809523
same_label,41,tabular_only,f1_score,0.975609756097561
same_label,41,tabular_only,roc_auc,0.990079365079365
same_label,41,tabular_only,brier_score,0.01353960529243723
same_label,41,image_only,accuracy,1.0
same_label,41,image_only,precision,1.0
same_label,41,image_only,recall,1.0
same_label,41,image_only,f1_score,1.0
same_label,41,image_only,roc_auc,1.0
same_label,41,image_only,brier_score,0.0005499837226802577
same_label,41,early_fusion,accuracy,1.0
same_label,41,early_fusion,precision,1.0
same_label,41,early_fusion,recall,1.0
same_label,41,early_fusion,f1_score,1.0
same_label,41,early_fusion,roc_auc,1.0
same_label,41,early_fusion,brier_score,0.0005171999604297787
same_label,41,late_fusion,accuracy,1.0
same_label,41,late_fusion,precision,1.0
same_label,41,late_fusion,recall,1.0
same_label,41,late_fusion,f1_score,1.0
same_label,41,late_fusion,roc_auc,1.0
same_label,41,late_fusion,brier_score,0.003664234884540239
same_label,51,tabular_only,accuracy,0.9824561403508771
same_label,51,tabular_only,precision,1.0
same_label,51,tabular_only,recall,0.9523809523809523
same_label,51,tabular_only,f1_score,0.975609756097561
same_label,51,tabular_only,roc_auc,0.9996693121693122
same_label,51,tabular_only,brier_score,0.011596671299502963
same_label,51,image_only,accuracy,1.0
same_label,51,image_only,precision,1.0
same_label,51,image_only,recall,1.0
same_label,51,image_only,f1_score,1.0
same_label,51,image_only,roc_auc,1.0
same_label,51,image_only,brier_score,0.001149196553200395
same_label,51,early_fusion,accuracy,0.9912280701754386
same_label,51,early_fusion,precision,1.0
same_label,51,early_fusion,recall,0.9761904761904762
same_label,51,early_fusion,f1_score,0.9879518072289156
same_label,51,early_fusion,roc_auc,1.0
same_label,51,early_fusion,brier_score,0.004230260536590684
same_label,51,late_fusion,accuracy,1.0
same_label,51,late_fusion,precision,1.0
same_label,51,late_fusion,recall,1.0
same_label,51,late_fusion,f1_score,1.0
same_label,51,late_fusion,roc_auc,1.0
same_label,51,late_fusion,brier_score,0.003518068096685509
random,11,tabular_only,accuracy,0.9912280701754386
random,11,tabular_only,precision,1.0
random,11,tabular_only,recall,0.9761904761904762
random,11,tabular_only,f1_score,0.9879518072289156
random,11,tabular_only,roc_auc,1.0
random,11,tabular_only,brier_score,0.012077400692972065
random,11,image_only,accuracy,0.5087719298245614
random,11,image_only,precision,0.26666666666666666
random,11,image_only,recall,0.19047619047619047
random,11,image_only,f1_score,0.2222222222222222
