pairing_type,experiment,metric,mean,std,min,max
random,early_fusion,accuracy,0.9719298245614034,0.020003077633318222,0.9385964912280702,0.9912280701754386
random,early_fusion,brier_score,0.023557547067123687,0.013548600733065132,0.009933444313462455,0.0439164948128111
random,early_fusion,f1_score,0.9615031554790591,0.027512119007062137,0.9156626506024096,0.9879518072289156
random,early_fusion,precision,0.9708478513356562,0.026745927442890127,0.926829268292683,1.0
random,early_fusion,recall,0.9523809523809523,0.029160592175990204,0.9047619047619048,0.9761904761904762
random,early_fusion,roc_auc,0.9917989417989418,0.010190874003948944,0.9768518518518519,0.9993386243386243
random,image_only,accuracy,0.5824561403508772,0.045832808693379405,0.5087719298245614,0.6228070175438597
random,image_only,brier_score,0.2825364395275264,0.027133015259027577,0.26096301293114066,0.3267927225992331
random,image_only,f1_score,0.34136670027080984,0.07952747721460986,0.2222222222222222,0.44155844155844154
random,image_only,precision,0.40646697388632874,0.08664738978339842,0.26666666666666666,0.4857142857142857
random,image_only,recall,0.29523809523809524,0.07641336445657722,0.19047619047619047,0.40476190476190477
random,image_only,roc_auc,0.4938492063492063,0.06951835714473366,0.3860780423280423,0.5634920634920635
random,late_fusion,accuracy,0.9771929824561404,0.007845852552630818,0.9649122807017544,0.9824561403508771
random,late_fusion,brier_score,0.08445894030287698,0.008965591834402745,0.07372024410300689,0.09517315354744904
random,late_fusion,f1_score,0.9679584462511291,0.011435561553060662,0.95,0.975609756097561
random,late_fusion,precision,1.0,0.0,1.0,1.0
random,late_fusion,recall,0.9380952380952381,0.02129588549999796,0.9047619047619048,0.9523809523809523
random,late_fusion,roc_auc,0.9875,0.005485831045853907,0.9804894179894179,0.9950396825396826
random,tabular_only,accuracy,0.9824561403508772,0.006202691063039851,0.9736842105263158,0.9912280701754386
random,tabular_only,brier_score,0.01656181057468302,0.005777604185654185,0.011596671299502963,0.023760560146158485
random,tabular_only,f1_score,0.9757272994416691,0.00852087908289832,0.963855421686747,0.9879518072289156
random,tabular_only,precision,0.9951219512195122,0.010907648670730699,0.975609756097561,1.0
random,tabular_only,recall,0.9571428571428571,0.010647942749998977,0.9523809523809523,0.9761904761904762
random,tabular_only,roc_auc,0.9950396825396826,0.005191904255326602,0.9890873015873016,1.0
same_label,early_fusion,accuracy,0.9982456140350877,0.0039229262763154325,0.9912280701754386,1.0
same_label,early_fusion,brier_score,0.0012872350765300192,0.0016821089140449696,0.00013766046431848818,0.004230260536590684
same_label,early_fusion,f1_score,0.9975903614457831,0.005388115608433258,0.9879518072289156,1.0
same_label,early_fusion,precision,1.0,0.0,1.0,1.0
same_label,early_fusion,recall,0.9952380952380953,0.010647942749999017,0.9761904761904762,1.0
same_label,early_fusion,roc_auc,1.0,0.0,1.0,1.0
same_label,image_only,accuracy,1.0,0.0,1.0,1.0
same_label,image_only,brier_score,0.0007421179600353837,0.0002374210867812953,0.0005499837226802577,0.001149196553200395
same_label,image_only,f1_score,1.0,0.0,1.0,1.0
same_label,image_only,precision,1.0,0.0,1.0,1.0
same_label,image_only,recall,1.0,0.0,1.0,1.0
same_label,image_only,roc_auc,1.0,0.0,0.9999999999999999,1.0
same_label,late_fusion,accuracy,1.0,0.0,1.0,1.0
same_label,late_fusion,brier_score,0.00453424000132222,0.0014454588999949312,0.003311508350655524,0.006435221557127246
same_label,late_fusion,f1_score,1.0,0.0,1.0,1.0
same_label,late_fusion,precision,1.0,0.0,1.0,1.0
same_label,late_fusion,recall,1.0,0.0,1.0,1.0
same_label,late_fusion,roc_auc,1.0,0.0,1.0,1.0
same_label,tabular_only,accuracy,0.9824561403508772,0.006202691063039851,0.9736842105263158,0.9912280701754386
same_label,tabular_only,brier_score,0.01656181057468302,0.005777604185654185,0.011596671299502963,0.023760560146158485
same_label,tabular_only,f1_score,0.9757272994416691,0.00852087908289832,0.963855421686747,0.9879518072289156
same_label,tabular_only,precision,0.9951219512195122,0.010907648670730699,0.975609756097561,1.0
same_label,tabular_only,recall,0.9571428571428571,0.010647942749998977,0.9523809523809523,0.9761904761904762
same_label,tabular_only,roc_auc,0.9950396825396826,0.005191904255326602,0.9890873015873016,1.0
