,mean,std,min,max
x.radius_mean,14.127291739894552,3.5240488262120775,6.981,28.11
x.texture_mean,19.289648506151146,4.301035768166949,9.71,39.28
x.perimeter_mean,91.96903339191564,24.298981038754906,43.79,188.5
x.area_mean,654.8891036906855,351.914129181653,143.5,2501.0
x.smoothness_mean,0.09636028119507908,0.014064128137673618,0.05263,0.1634
x.compactness_mean,0.10434098418277679,0.052812757932512194,0.01938,0.3454
x.concavity_mean,0.0887993158172232,0.07971980870789348,0.0,0.4268
x.concave_pts_mean,0.04891914586994727,0.038802844859153605,0.0,0.2012
x.symmetry_mean,0.18116186291739894,0.027414281336035715,0.106,0.304
x.fractal_dim_mean,0.06279760984182776,0.007060362795084459,0.04996,0.09744
